Name,Age,Nationality,Club,Preferred Foot,Crossing,Dribbling,LongPassing,ShotPower
S. Facey,23,England,Northampton Town,Right,46,56,51,26
V. Golemić,27,Serbia,Crotone,Right,28,30,24,36
F. Álvarez,18,Argentina,San Martín de San Juan,Right,31,36,36,43
J. Asiri,20,Saudi Arabia,Al Wehda,Left,33,59,36,57
J. Melling,23,Australia,Central Coast Mariners,Right,42,52,59,53
G. Leigh,23,England,NAC Breda,Left,52,62,51,44
Lee Jae Ik,19,Korea Republic,Gangwon FC,Right,32,27,42,39
Tang Jiashu,27,China PR,Chongqing Dangdai Lifan FC SWM Team,Right,43,46,46,47
J. Keohane,27,Republic of Ireland,Cork City,Right,57,64,58,55
S. Boyd,32,Scotland,Kilmarnock,Right,45,43,56,48
Darío Poveda,21,Spain,Atlético Madrid,Right,45,61,45,57
A. Al Fiqi,25,Saudi Arabia,Al Hilal,Left,57,64,55,53
E. Fernández,25,Mexico,Tigres U.A.N.L.,Right,10,8,38,24
J. Bonham,24,Republic of Ireland,Bristol Rovers,Right,12,19,51,19
D. Haspolat,18,Netherlands,Excelsior,Right,56,64,59,52
R. Yamazaki,29,Japan,Kashiwa Reysol,Right,53,67,35,65
M. Hazazi,30,Saudi Arabia,Al Fateh,Right,59,63,56,46
Y. Otayn,27,Saudi Arabia,Al Raed,Right,36,53,56,46
G. Coke,32,England,Oldham Athletic,Right,54,55,62,69
D. Lanius,21,Germany,SC Preußen Münster,Right,37,31,45,56
Ha Sung Min,31,Korea Republic,Gyeongnam FC,Right,55,49,58,62
I. La Rocca,34,Italy,Melbourne City FC,Left,43,52,54,57
A. Hazazi,24,Saudi Arabia,Ettifaq FC,Left,51,62,58,52
N. Tiknizyan,19,Russia,PFC CSKA Moscow,Left,58,64,49,58
B. Pindroch,26,Slovakia,Notts County,Right,11,20,28,23
N. Heidemann,23,Germany,SC Preußen Münster,Left,60,58,54,50
S. Mbakata,20,France,FC Sochaux-Montbéliard,Right,52,54,38,24
R. Harley,33,England,Milton Keynes Dons,Right,57,62,61,67
P. Hercher,22,Germany,SG Sonnenhof Großaspach,Right,60,59,50,63
L. Balerdi,19,Argentina,Boca Juniors,Right,35,31,30,45
G. Guerrieri,22,Italy,Lazio,Right,12,16,19,23
L. Kramer,18,Netherlands,FC Groningen,Right,31,30,30,43
A. Tozzo,25,Italy,Hellas Verona,Left,11,14,26,20
A. Domínguez,27,Mexico,Deportivo Toluca,Left,46,62,65,51
A. Melo,22,Argentina,Gimnasia y Esgrima La Plata,Right,60,65,56,55
S. Al Qeshtah,25,Saudi Arabia,Al Hazem,Left,33,44,43,36
J. Partington,28,Wales,Bristol Rovers,Right,61,54,59,37
M. Gillespie,26,England,Motherwell,Right,13,17,35,24
D. Gyollai,21,Hungary,Stoke City,Right,16,16,21,20
J. Cook,28,England,Grimsby Town,Right,58,56,55,55
T. Hudson-Wihongi,23,New Zealand,,Right,53,57,61,41
J. Tuominen,22,Finland,,Right,35,59,45,55
T. Smith,22,England,Southend United,Left,11,12,30,16
Kim Young Sin,32,Korea Republic,Gangwon FC,Right,61,63,60,60
Li Songyi,25,China PR,Shandong Luneng TaiShan FC,Right,55,58,64,32
R. Wulle,24,Germany,SV Sandhausen,Right,11,10,20,18
A. Al Khulaif,21,Saudi Arabia,Al Ahli,Right,57,65,42,54
A. Fontana,18,United States,Philadelphia Union,Right,51,60,57,65
P. Prado,22,Peru,FC Nantes,Right,63,48,61,36
M. Rocca,22,Italy,Livorno,Right,58,58,61,59
J. Vogliotti,33,Argentina,Jaguares de Córdoba,Right,31,51,41,61
K. Yoshino,23,Japan,Sanfrecce Hiroshima,Right,28,25,29,35
Liu Yang,27,China PR,Beijing Renhe FC,Right,36,52,49,34
D. Moreno,23,Colombia,Junior FC,Right,48,59,45,49
M. Comba,24,Argentina,Gimnasia y Esgrima La Plata,Right,50,63,37,59
L. Gambin,25,Malta,Crawley Town,Left,57,67,56,45
E. Maanane,23,France,Grenoble Foot 38,Right,32,63,36,59
M. Meneses,19,Chile,CD O'Higgins,Right,63,48,58,49
T. Børkeeiet,19,Norway,Stabæk Fotball,Right,44,58,58,53
A. Bennett,36,Republic of Ireland,Cork City,Right,19,19,31,43
M. Martic,22,Austria,SK Rapid Wien,Right,40,54,64,47
Chico,27,Korea Republic,Pohang Steelers,Right,43,57,62,65
J. Lindsey,18,United States,Sporting Kansas City,Right,57,60,57,58
D. Vlahovic,18,Serbia,Fiorentina,Left,41,55,38,62
Miquel Parera,22,Spain,RCD Mallorca,Right,19,12,18,22
Diego Pampín,18,Spain,RC Celta,Left,62,51,40,40
J. Suárez,21,United States,Querétaro,Right,62,65,55,60
M. Reule,24,Germany,SG Sonnenhof Großaspach,Right,18,14,21,26
Bai Yuefeng,31,China PR,Tianjin TEDA FC,Right,64,53,48,55
V. Müller,19,Austria,SCR Altach,Right,58,58,56,52
C. Ferreira,18,Argentina,River Plate,Right,47,61,67,62
J. Houghton,22,England,Milton Keynes Dons,Right,45,54,67,50
N. Smith,22,England,Port Vale,Right,28,22,24,31
L. Carillo,21,Italy,Brescia,Left,30,42,41,50
S. Ruiz,20,Colombia,Envigado FC,Left,60,55,34,31
L. Amarilla,22,Paraguay,Vélez Sarsfield,Right,34,65,38,57
S. Ormeño,24,Mexico,Puebla FC,Right,31,55,34,67
P. Petrović,22,Sweden,IF Brommapojkarna,Right,60,65,58,65
R. Callachan,24,Scotland,St. Johnstone FC,Right,46,54,67,53
Leandro,29,Spain,RCD Mallorca,Left,10,23,13,22
Zhong JinBao,23,China PR,Henan Jianye FC,Right,49,57,58,56
Park Dae Han,22,Korea Republic,Jeonnam Dragons,Right,11,8,27,20
D. Burgzorg,19,Netherlands,De Graafschap,Right,58,64,41,65
Marcus Vinícius,34,Brazil,Arka Gdynia,Right,47,70,57,63
V. Wernersson,22,Sweden,IFK Göteborg,Left,55,57,59,47
Roger Riera,23,Spain,Villarreal CF,Right,36,46,39,50
N. Blissett,28,England,Macclesfield Town,Right,33,49,34,67
F. Sulmoni,32,Switzerland,FC Lugano,Right,48,45,53,44
M. Harrer,26,Austria,FC Wacker Innsbruck,Right,57,62,44,63
M. Havekotte,22,Netherlands,ADO Den Haag,Right,20,20,28,23
S. Bastoni,21,Italy,Spezia,Left,63,63,55,58
A. Rinomhota,21,England,Reading,Right,48,63,57,50
J. Caletti,19,Australia,Brisbane Roar,Right,53,60,61,45
G. Ray,24,Wales,Crewe Alexandra,Right,15,49,31,20
Zhang Chenglin,31,China PR,Guangzhou Evergrande Taobao FC,Right,58,57,52,33
L. Mokhevishvili,22,Georgia,Albacete BP,Right,47,62,58,62
V. Myhra,21,Norway,Odds BK,Right,21,17,21,21
Chen Hao,25,China PR,Henan Jianye FC,Right,26,36,46,63
M. Ferreira,21,France,Red Star FC,Right,59,60,58,49
M. Moënza,24,Sweden,Dalkurd FF,Left,64,49,55,58
A. Swolfs,20,Belgium,Waasland-Beveren,Right,17,12,25,19
K. Machida,20,Japan,Kashima Antlers,Left,27,23,52,48
A. Babacan,18,Turkey,Galatasaray SK,Left,65,67,62,55
K. Gutiérrez,21,Argentina,Gimnasia y Esgrima La Plata,Right,53,60,64,61
K. Appiah-Kubi,26,Australia,Incheon United FC,Right,57,68,54,41
P. Keegan,33,Republic of Ireland,Waterford FC,Right,56,48,58,62
K. Woolery,23,England,Swindon Town,Right,55,61,39,52
J. Vagnoman,17,Germany,Hamburger SV,Right,57,64,39,31
A. Kostić,22,Serbia,SK Rapid Wien,Right,58,65,51,59
B. Nugent,24,England,Stevenage,Left,19,22,45,48
S. Habergham,26,England,Lincoln City,Left,64,54,53,53
H. Ayaroğlu,23,Turkey,Alanyaspor,Left,57,60,74,56
J. Brandon,20,Scotland,Heart of Midlothian,Right,60,62,63,64
E. Omondi,23,Kenya,IF Brommapojkarna,Right,41,62,58,59
R. Alvarez,19,Chile,Colo-Colo,Left,54,64,60,54
B. Purkiss,34,England,Walsall,Right,59,48,58,35
T. Basila,19,France,FC Nantes,Right,49,30,46,42
M. Rose,23,England,Grimsby Town,Right,54,59,58,63
Y. Schmid,23,Switzerland,FC Luzern,Right,28,35,42,36
Christovao,25,Angola,Zagłębie Sosnowiec,Right,49,61,49,59
I. Magnusson,20,Sweden,Kalmar FF,Right,29,63,44,48
M. Wintzheimer,19,Germany,Hamburger SV,Right,29,55,31,63
K. Anzai,23,Japan,Sagan Tosu,Left,59,57,47,51
D. Mihajlovic,26,Switzerland,FC Lugano,Right,59,59,48,65
D. Emmanouilidis,17,Greece,Panathinaikos FC,Right,62,65,36,50
P. Smyth,20,Northern Ireland,Queens Park Rangers,Right,50,65,39,58
K. Kristinsson,19,Iceland,Willem II,Right,57,67,57,54
D. Duhaney,19,England,Huddersfield Town,Right,56,57,44,51
L. Østigård,18,Norway,Brighton & Hove Albion,Right,31,40,48,46
Lee Bum Soo,27,Korea Republic,Gyeongnam FC,Right,12,11,34,22
Yi Fan,26,China PR,Changchun Yatai FC,Right,23,17,30,21
Robert Sanchez,20,Spain,Forest Green Rovers,Right,12,13,21,27
S. Macías,22,Colombia,Independiente Medellín,Left,60,61,57,51
M. Egho,24,Austria,Randers FC,Left,57,58,42,58
P. Pfeiffer,18,Germany,Hamburger SV,Right,34,49,39,47
B. Anderson,19,Scotland,Aberdeen,Right,38,63,35,60
L. Grimshaw,23,England,Motherwell,Right,47,53,62,58
V. Vermeer,22,Netherlands,NAC Breda,Right,34,55,60,64
M. Kaasa,20,Norway,Odds BK,Right,49,67,59,50
H. Al Shamrani,21,Saudi Arabia,Al Faisaly,Left,56,62,49,62
C. Sierra,27,Colombia,Deportes Iquique,Right,66,59,59,64
E. Mensah,20,Ghana,HJK Helsinki,Left,54,64,44,54
S. Baradji,22,France,Red Star FC,Right,48,56,40,57
M. Igonen,21,Estonia,Lillestrøm SK,Right,15,14,21,24
S. Galloway,23,Australia,Adelaide United,Right,61,62,46,40
D. Moreno,22,Colombia,Envigado FC,Left,37,56,65,61
Zhang Cheng,29,China PR,Tianjin Quanjian FC,Right,52,48,60,30
Ma Xingyu,28,China PR,Henan Jianye FC,Right,38,55,56,54
T. Mokwa,25,Poland,Piast Gliwice,Right,63,62,57,41
D. Lippert,22,Germany,1. FC Nürnberg,Left,62,54,36,33
Y. Tatsuta,20,Japan,Shimizu S-Pulse,Right,59,66,64,37
M. Hjulmand,19,Denmark,FC Admira Wacker Mödling,Right,46,58,59,59
Y. Shimaya,29,Japan,Sagan Tosu,Right,64,66,57,58
J. Lotomba,19,Switzerland,BSC Young Boys,Right,59,59,46,57
Hiago,26,Brazil,Kalmar FF,Right,65,68,55,59
K. Scheidhauer,26,Germany,FC Energie Cottbus,Right,45,55,46,70
An Jin Beom,26,Korea Republic,Sangju Sangmu FC,Right,49,60,62,57
M. Kakuda,34,Japan,Shimizu S-Pulse,Right,38,41,51,43
Kang Ji Yong,28,Korea Republic,Incheon United FC,Right,21,31,30,57
J. Gulley,25,New Zealand,,Right,54,55,54,50
C. Owens,20,Northern Ireland,Queens Park Rangers,Right,54,66,66,61
N. Raskin,17,Belgium,KAA Gent,Left,39,69,65,43
J. Bocanegra,19,Colombia,Junior FC,Left,61,70,46,52
Rubén Sánchez,23,Spain,Granada CF,Left,42,48,45,62
Lee Min Soo,26,Korea Republic,Gangwon FC,Right,50,57,66,63
C. Castro,21,Mexico,Tiburones Rojos de Veracruz,Right,26,26,34,40
S. Ohlsson,25,Sweden,IFK Göteborg,Right,48,67,52,62
F. Cambeses,21,Argentina,Club Atlético Banfield,Right,13,11,21,21
L. Compagnucci,22,Argentina,San Luis de Quillota,Right,41,61,59,51
M. Cortesi,20,Italy,Brescia,Right,36,58,37,55
M. Borquez,19,Chile,CD Palestino,Right,11,12,20,21
M. Robinson,21,United States,Atlanta United,Right,26,38,49,49
Z. Randriambololona,24,Madagascar,Royal Antwerp FC,Right,60,66,55,61
K. Finnbogason,23,Iceland,IF Brommapojkarna,Right,26,53,40,66
J. Storey,20,England,Preston North End,Right,22,34,30,38
G. Simeone,19,Argentina,Unión La Calera,Right,38,49,41,63
J. Jesgarzewski,24,Germany,SV Meppen,Right,49,46,56,44
T. Jacobsen,21,Germany,SV Werder Bremen,Left,65,60,57,60
J. Allen,23,United States,Real Salt Lake,Right,53,63,55,54
E. Bekiroglu,22,Germany,TSV 1860 München,Right,42,65,54,66
J. Benteke,23,Belgium,Oldham Athletic,Right,54,54,53,58
J. Albert,26,France,Clermont Foot 63,Right,23,25,29,42
A. Morkaya,29,Turkey,MKE Ankaragücü,Right,51,60,63,54
A. Muric,19,Montenegro,Manchester City,Right,13,17,37,21
W. Atkinson,29,England,Mansfield Town,Right,57,60,58,58
L. Matarese,20,Italy,Frosinone,Right,58,68,47,64
M. Ellis,29,England,Tranmere Rovers,Right,22,34,50,32
S. Ayala,22,Colombia,Millonarios FC,Right,44,61,61,56
Bae Sin Yeong,26,Korea Republic,Sangju Sangmu FC,Right,50,56,63,44
E. Bytyqi,21,Kosovo,FC Würzburger Kickers,Right,55,64,47,61
M. Lercher,22,Austria,SV Mattersburg,Left,64,58,56,27
J. Morias,22,Jamaica,Northampton Town,Right,49,64,26,69
F. Lesniak,22,Slovakia,Aalborg BK,Right,56,58,60,65
A. Whiteman,19,England,Tottenham Hotspur,Right,14,12,25,17
W. Aimson,24,Wales,Bury,Right,25,29,34,51
K. Al Barakah,27,Saudi Arabia,Al Hazem,Left,55,53,48,37
Diego Ferraresso,26,Brazil,Cracovia,Right,50,67,54,23
T. Christensen,18,Norway,IK Start,Left,49,65,59,52
R. Aït Nouri,17,France,Angers SCO,Left,63,56,52,43
C. Robertson,31,Scotland,Swindon Town,Right,37,34,46,49
A. Revell,34,England,Stevenage,Right,55,43,23,71
R. Al Mousa,23,Saudi Arabia,Al Taawoun,Right,45,57,61,49
J. Rønningen,27,Norway,Kristiansund BK,Right,58,60,55,69
A. Bordin,19,Italy,Perugia,Right,44,60,65,55
C. Klarer,18,Austria,Southampton,Right,28,28,32,42
P. Stępiński,23,Poland,Wisła Płock,Right,53,63,49,31
W. McDonald,21,England,Yeovil Town,Right,53,62,53,60
M. Stamnestrø,26,Norway,Ranheim Fotball,Right,54,62,63,77
F. Al Johani,26,Saudi Arabia,Al Batin,Right,64,61,37,62
S. Harrison,20,England,Tottenham Hotspur,Left,45,61,41,57
P. Klimala,19,Poland,Jagiellonia Białystok,Right,29,60,39,61
K. Browne,31,Republic of Ireland,Waterford FC,Left,34,35,43,50
Y. Diarra,20,Mali,TSV Hartberg,Right,46,64,54,63
A. Oxborough,20,England,Norwich City,Right,18,14,30,19
M. Qvist,25,Denmark,AC Horsens,Left,60,63,52,62
C. Good,25,Australia,Melbourne City FC,Left,42,37,53,39
M. Saito,19,Japan,Shonan Bellmare,Right,49,74,52,53
K. Sterling,19,England,Tottenham Hotspur,Right,36,57,30,61
S. Davies,31,England,Tranmere Rovers,Right,11,13,50,20
D. Imrie,34,Scotland,Hamilton Academical FC,Left,57,60,47,62
D. Orellana,25,Chile,CD Everton de Viña del Mar,Right,62,59,63,49
A. Borkovic,19,Austria,FK Austria Wien,Left,40,38,51,45
G. Vicario,21,Italy,Venezia FC,Right,11,12,27,22
A. Karadas,36,Norway,SK Brann,Right,54,51,55,74
A. Madrid,23,Chile,CD Everton de Viña del Mar,Right,63,61,61,52
M. Butcher,21,England,Bournemouth,Left,48,61,63,54
N. Gómez,20,Mexico,Pachuca,Right,53,62,56,57
G. Cardozo,20,Uruguay,Extremadura UD,Right,29,38,42,38
J. Clarke,17,England,Leeds United,Right,55,68,47,53
S. Benega,19,Argentina,Club Atlético Banfield,Right,36,66,39,60
F. Sittsam,23,Austria,TSV Hartberg,Right,35,55,50,35
F. El Khoumisti,25,France,US Orléans Loiret Football,Right,41,62,36,58
D. Rosales,20,Mexico,U.N.A.M.,Right,63,54,54,45
T. Warschewski,20,Germany,SC Preußen Münster,Right,37,55,39,63
F. Sgarbi,20,Italy,Perugia,Right,25,22,24,45
C. O'Grady,32,England,Oldham Athletic,Right,39,48,43,67
G. Hiwat,24,Netherlands,PEC Zwolle,Right,60,67,46,54
Jung Seon Ho,29,Korea Republic,Daegu FC,Left,61,61,56,57
I. Meslier,18,France,FC Lorient,Right,14,16,37,33
J. Sánchez Purata,20,Mexico,Tigres U.A.N.L.,Right,37,50,55,58
H. Daza,20,Colombia,Deportivo Cali,Left,60,58,53,41
J. Mondragón,23,Colombia,Itagüí Leones FC,Right,30,32,46,52
T. Fukumitsu,26,Japan,Cerezo Osaka,Right,65,61,62,23
E. Cerna,20,Mexico,Tigres U.A.N.L.,Right,57,65,50,55
S. Tka,27,Tunisia,Racing Club de Lens,Right,48,39,42,31
A. Dales,23,England,Scunthorpe United,Right,48,67,56,61
E. Wichne,21,Norway,IK Start,Right,60,55,65,60
J. Simpson,21,England,Bournemouth,Left,37,37,36,43
J. Bamert,20,Switzerland,FC Sion,Right,41,44,34,30
M. Kamekawa,25,Japan,Kashiwa Reysol,Right,56,58,41,46
B. Córdoba,25,Colombia,Once Caldas,Left,59,68,53,53
M. Randall,28,England,Crawley Town,Right,51,56,65,51
A. Eisa,21,England,Shrewsbury,Right,58,66,48,60
B. Dia,21,France,Stade de Reims,Right,36,53,40,66
M. Maidana,27,Argentina,Argentinos Juniors,Left,54,49,32,43
F. Brown Forbes,26,Costa Rica,Korona Kielce,Right,63,65,47,60
Jo Soo Chul,27,Korea Republic,Sangju Sangmu FC,Right,48,60,66,57
S. Banza,21,France,Racing Club de Lens,Right,31,58,35,62
T. Onozawa,20,Japan,Cerezo Osaka,Right,63,54,61,47
J. Ndecky,21,Senegal,Fortuna Düsseldorf,Right,59,60,43,43
L. Tupta,20,Slovakia,Hellas Verona,Right,43,67,43,73
J. Pepper,26,Australia,Brisbane Roar,Right,39,44,56,50
M. Majrashi,27,Saudi Arabia,Al Faisaly,Right,48,64,43,67
D. Toköz,22,Turkey,Beşiktaş JK,Right,42,57,67,54
Guo Hao,25,China PR,Tianjin TEDA FC,Right,39,62,53,46
K. Sekiguchi,32,Japan,Vegalta Sendai,Right,55,65,50,52
K. Jacobs,28,South Africa,Livingston FC,Right,49,57,65,65
M. Christensen,20,Denmark,Aalborg BK,Right,56,54,62,56
Lee Jeong Bin,23,Korea Republic,Incheon United FC,Right,58,55,56,51
R. Tulloch,17,England,West Bromwich Albion,Right,38,50,41,58
L. Agüero,21,Argentina,Godoy Cruz,Right,39,61,37,61
D. Meredith,18,Scotland,West Bromwich Albion,Right,33,52,52,38
M. Romero,22,Argentina,Argentinos Juniors,Right,58,62,27,52
J. Masson,20,France,Valenciennes FC,Left,43,52,54,45
B. Burns,18,Northern Ireland,Livingston FC,Left,60,60,55,49
B. Gilmour,17,Scotland,Chelsea,Right,56,64,70,48
Cheng Yuan,24,China PR,Shandong Luneng TaiShan FC,Right,49,55,53,58
Kim Hyun Hun,27,Korea Republic,Gyeongnam FC,Right,26,33,32,43
Genaro,20,Spain,Sevilla FC,Right,52,59,68,69
Y. Takahashi,25,Japan,Sagan Tosu,Right,45,37,49,36
B. Wilson,21,Australia,Perth Glory,Right,59,65,63,58
D. Heymans,19,Belgium,Waasland-Beveren,Right,51,62,60,55
C. Randall,22,England,Rochdale,Right,63,64,65,49
C. Johnson,20,England,Walsall,Right,33,53,48,46
R. Nicolaisen,21,Denmark,FC Midtjylland,Right,35,42,50,45
M. Nani,20,Argentina,Belgrano de Córdoba,Left,34,48,41,47
S. Otayf,27,Saudi Arabia,Al Raed,Right,51,66,62,52
H. Nakamura,32,Japan,V-Varen Nagasaki,Right,56,57,55,58
M. Kryeziu,21,Switzerland,FC Zürich,Right,24,28,26,23
Park Hyeong Jin,28,Korea Republic,Suwon Samsung Bluewings,Left,48,59,49,48
A. Gallo,18,Italy,Palermo,Left,61,61,56,59
Baek Dong Gyu,27,Korea Republic,Sangju Sangmu FC,Right,29,45,54,39
R. Watson,22,England,Scunthorpe United,Right,18,15,26,23
A. Amadi-Holloway,25,Wales,Shrewsbury,Right,33,60,52,59
D. Olave,24,Colombia,Deportes Tolima,Right,56,47,43,31
R. Romero,19,Chile,Audax Italiano,Right,47,71,63,61
B. Janošević,28,Serbia,AIK,Right,12,12,25,29
D. Sula,20,Belgium,Waasland-Beveren,Right,57,61,40,58
B. Hanlan,21,England,Gillingham,Right,48,53,42,69
P. Wiesinger,24,Austria,LASK Linz,Left,56,54,58,39
C. Martin,23,United States,Minnesota United FC,Right,59,56,58,46
Kuk Tae Jeong,22,Korea Republic,Pohang Steelers,Left,56,57,37,49
D. Oberhauser,27,France,GFC Ajaccio,Right,10,10,33,22
E. Kupen,28,Norway,FK Bodø/Glimt,Right,32,61,38,60
D. Jarl,26,Sweden,IK Sirius,Left,35,41,55,25
D. Carr,24,England,Shamrock Rovers,Right,33,65,31,54
M. Diallo,27,Senegal,KAS Eupen,Right,31,51,26,62
L. Scherff,21,Germany,FC Hansa Rostock,Left,57,68,39,47
C. Brandeborn,27,Sweden,IF Brommapojkarna,Right,56,64,60,56
M. Drennan,24,Republic of Ireland,Sligo Rovers,Left,41,52,39,63
I. Djuric,29,Switzerland,Neuchâtel Xamax,Right,49,42,63,58
M. Allende,19,Chile,Club Necaxa,Right,53,72,62,59
M. Knudsen,23,Denmark,Vendsyssel FF,Right,55,62,63,54
T. Taiwo,28,England,Hamilton Academical FC,Right,53,53,62,62
L. Pizarro,20,Argentina,Godoy Cruz,Right,51,63,61,62
M. Olsen Pettersen,18,Norway,SK Brann,Right,11,10,18,20
A. Berry,20,Australia,Central Coast Mariners,Right,44,54,52,53
H. Wingo,22,United States,Seattle Sounders FC,Right,54,61,57,71
M. Taylor-Crossdale,18,England,Chelsea,Right,42,65,41,70
C. Omeje,28,Nigeria,GIF Sundsvall,Right,35,61,36,59
C. Vidal,18,France,Montpellier HSC,Right,26,28,28,46
F. Okenabirhie,22,Nigeria,Shrewsbury,Right,41,62,42,60
J. Aguilera,18,Chile,Colo-Colo,Left,54,65,58,57
S. Warmolts,24,Netherlands,FC Emmen,Right,32,46,48,51
D. Mantilla,21,Colombia,Itagüí Leones FC,Right,52,61,54,57
P. Amond,30,Republic of Ireland,Newport County,Right,45,56,37,62
M. Pałaszewski,20,Poland,Śląsk Wrocław,Right,35,57,59,54
M. Pavić,23,Austria,FC Sochaux-Montbéliard,Left,57,56,39,29
K. Hachisuka,27,Japan,Vegalta Sendai,Right,69,58,45,39
B. Cooper,18,Wales,Swansea City,Right,30,29,30,41
G. Damen,20,Netherlands,NAC Breda,Right,41,62,58,54
C. Rubio Sivodedov,20,Sweden,GIF Sundsvall,Right,56,62,62,55
J. Smith,20,England,Tranmere Rovers,Left,60,61,56,61
M. Ndjoli,19,England,Kilmarnock,Right,46,57,41,66
Manu Navarro,17,Spain,Rayo Vallecano,Right,38,50,63,43
Javi Pérez,22,Spain,Real Valladolid CF,Right,42,55,56,42
J. Wallens,25,Colombia,Deportivo Cali,Right,11,13,21,25
A. Parisi,23,Italy,Livorno,Right,51,34,35,32
L. Yamaguchi,20,Japan,Extremadura UD,Right,12,11,27,23
K. Tagawa,19,Japan,Sagan Tosu,Left,34,55,48,50
J. Herrera,26,Argentina,Audax Italiano,Left,29,57,37,61
P. Chato,21,Germany,VfL Sportfreunde Lotte,Left,48,52,53,45
E. Majetschak,18,Germany,RB Leipzig,Right,52,55,64,57
H. Hope,24,Barbados,Carlisle United,Right,56,49,37,62
Seo Jae Min,20,Korea Republic,Daegu FC,Right,61,60,42,54
R. Durán,20,Mexico,Tigres U.A.N.L.,Right,55,61,47,60
B. Adekanye,19,Netherlands,Liverpool,Left,54,64,46,63
C. Baumgartner,18,Austria,TSG 1899 Hoffenheim,Right,47,60,65,56
Salcedo,27,Spain,CF Rayo Majadahonda,Right,13,14,34,39
L. Donnelly,22,Northern Ireland,Motherwell,Right,54,56,46,32
S. Lauper,21,Switzerland,BSC Young Boys,Right,50,61,59,56
Anderson Emanuel,22,Angola,FC Sochaux-Montbéliard,Left,41,66,35,63
A. Balanta,18,Colombia,Deportivo Cali,Right,45,49,51,52
C. Georges,24,Sweden,IK Sirius,Right,54,69,39,57
W. Hajda,18,Poland,Górnik Zabrze,Right,35,60,55,40
N. Petric,27,Serbia,IF Brommapojkarna,Right,12,13,15,21
D. Kerschbaumer,29,Austria,SV Mattersburg,Right,52,62,53,65
R. Telfer,24,Canada,Toronto FC,Left,59,59,50,59
Otaño,22,Spain,CD Tenerife,Right,9,6,23,24
D. Loader,17,England,Reading,Right,39,64,41,54
J. Montaño,25,Colombia,Alianza Petrolera,Right,61,58,48,58
J. Marcinkowski,21,United States,San Jose Earthquakes,Right,11,15,36,22
G. Herrem,30,Norway,FK Bodø/Glimt,Right,48,55,33,67
I. Al Zubaidi,28,Saudi Arabia,Al Taawoun,Left,64,59,43,35
J. Calero,19,Colombia,Club León,Right,41,54,39,61
S. Perić,21,Austria,FC Wacker Innsbruck,Right,47,41,54,43
S. Raheriharimanana,24,Madagascar,Red Star FC,Right,50,59,63,62
R. Gül,17,Turkey,Galatasaray SK,Left,59,68,43,59
I. Wilson,19,Scotland,Kilmarnock,Right,39,57,62,61
N. Al Dawsari,19,Saudi Arabia,Al Hilal,Left,56,52,60,51
H. Al Maqati,24,Saudi Arabia,Al Hazem,Right,54,60,55,53
K. Bigler,25,Switzerland,FC Thun,Right,53,57,52,57
P. Berg,20,Norway,FK Bodø/Glimt,Right,44,60,60,60
A. Zendejas,20,Mexico,Guadalajara,Left,40,70,54,51
A. Karnuçu,18,Turkey,Galatasaray SK,Right,46,57,59,57
D. Quaranta,21,Italy,Ascoli,Left,40,40,38,50
T. Velaphi,31,Australia,Perth Glory,Right,15,11,22,17
N. Das,24,India,,Left,42,52,29,27
J. Durán,21,Mexico,Club León,Right,27,37,47,48
Rafael Zuchi,24,Brazil,SD Huesca,Right,21,36,33,47
M. Vargas,22,Chile,Universidad Católica,Right,18,22,31,38
O. Ural,21,Turkey,Kasimpaşa SK,Right,55,62,27,29
S. Mustafa,32,Sudan,Al Hazem,Right,52,58,58,44
M. Youssouf,30,Comoros,AC Ajaccio,Left,54,60,52,47
S. Hart,21,England,Rochdale,Left,53,69,42,31
M. Al Baqawi,22,Saudi Arabia,Al Hilal,Right,58,54,53,30
J. Díaz,21,Colombia,Boyacá Chicó FC,Right,61,63,50,52
Liu Junshuai,23,China PR,Shandong Luneng TaiShan FC,Right,21,20,35,35
H. Hankić,24,Austria,FC Wacker Innsbruck,Right,14,13,23,26
Jiang Zhe,29,China PR,Changchun Yatai FC,Right,53,62,63,63
G. Edmundson,20,England,Oldham Athletic,Right,29,33,42,46
M. Blauensteiner,23,Austria,TSV Hartberg,Right,59,58,50,58
K. Rauhut,28,Germany,FC Energie Cottbus,Left,14,14,26,23
A. Tripaldelli,19,Italy,PEC Zwolle,Left,64,65,41,36
B. Wilson,25,England,Bradford City,Right,18,19,22,21
T. Kunimoto,20,Japan,Gyeongnam FC,Left,49,65,52,58
V. Xenopoulos,20,Greece,Panathinaikos FC,Right,14,10,29,60
B. Warland,21,Australia,Sydney FC,Left,36,38,22,32
M. Paes,20,Netherlands,FC Utrecht,Right,13,10,23,22
R. Obermair,22,Germany,SK Sturm Graz,Right,58,70,49,73
C. Palacios,17,Chile,Unión Española,Right,36,59,54,61
